"","Counterparty.country","X1977.Q4","X1978.Q4","X1979.Q4","X1980.Q4","X1981.Q4","X1982.Q4","X1983.Q4","X1984.Q4","X1985.Q4","X1986.Q4","X1987.Q4","X1988.Q4","X1989.Q4","X1990.Q4","X1991.Q4","X1992.Q4","X1993.Q4","X1994.Q4","X1995.Q4","X1996.Q4","X1997.Q4","X1998.Q4","X1999.Q4","X2000.Q4","X2001.Q4","X2002.Q4","X2003.Q4","X2004.Q4","X2005.Q4","X2006.Q4","X2007.Q4","X2008.Q4","X2009.Q4","X2010.Q4","X2011.Q4","X2012.Q4","X2013.Q4","X2014.Q4","X2015.Q4","X2016.Q4","X2017.Q4","X2018.Q4"
"22","Jamaica",7.96289682388306,7.96289682388306,7.96289682388306,7.96289682388306,8.17307376861572,8.34219360351562,8.50145244598389,8.37032985687256,8.12393856048584,8.27687931060791,8.92664337158203,9.28141498565674,9.94719886779785,10.3650350570679,10.8665208816528,11.0790195465088,12.1223421096802,12.2900409698486,12.5788516998291,12.5645456314087,12.4212522506714,12.1312713623047,12.2583675384521,12.3660821914673,12.5323972702026,12.7827062606812,13.2513599395752,13.4267711639404,13.5467796325684,13.9395179748535,14.1391248703003,14.0243520736694,13.4161815643311,13.2194604873657,13.4483518600464,13.3644390106201,13.4310941696167,13.5227966308594,13.6435089111328,13.8309059143066,13.897500038147,13.897500038147
"23","Nicaragua",5.40728759765625,5.40728759765625,5.40728759765625,5.40728759765625,5.69729566574097,5.65078496932983,5.91146755218506,5.81888866424561,5.58137035369873,5.52459049224854,5.48556756973267,4.80262422561646,4.72109413146973,4.71670055389404,4.7077054977417,4.72585201263428,4.70736742019653,4.86448097229004,5.15206432342529,5.4789252281189,5.69625473022461,5.90768146514893,6.32334423065186,6.58270215988159,6.77760553359985,6.82870435714722,7.00083780288696,7.37273454666138,7.68846416473389,7.98099994659424,8.38614368438721,8.67426776885986,8.38865375518799,8.75860118865967,9.31185531616211,9.91676616668701,10.4053745269775,10.9033203125,11.4232568740845,11.9554386138916,12.5366039276123,12.5366039276123
"24","Panama",8.76210021972656,8.76210021972656,8.76210021972656,8.76210021972656,9.56881046295166,10.0805940628052,9.62783813476562,9.88870143890381,10.3774242401123,10.7476682662964,10.5532360076904,9.1412296295166,9.28403854370117,10.0359525680542,10.9812393188477,11.8818855285645,12.5301303863525,12.8872575759888,13.113000869751,13.6479730606079,14.529767036438,15.5964698791504,16.2074165344238,16.6475086212158,16.7431087493896,17.1163387298584,17.8361644744873,19.1778144836426,20.5569458007812,22.3356266021729,25.0123252868652,27.4774551391602,27.818998336792,29.4402866363525,32.7710494995117,35.9756774902344,38.4592361450195,40.4078178405762,42.6608581542969,44.7890357971191,47.1881675720215,47.1881675720215
"25","Puerto Rico",48.4030876159668,48.4030876159668,48.4030876159668,48.4030876159668,48.9587249755859,48.1966133117676,47.0678596496582,49.8583641052246,51.4026985168457,53.9612007141113,57.07421875,60.4349594116211,63.0547904968262,61.2636909484863,62.6754455566406,65.5359878540039,68.5798187255859,71.4505386352539,74.700813293457,76.4291687011719,80.1589813232422,84.5923614501953,89.1516342163086,92.0686416625977,97.8813705444336,98.7784118652344,98.8311767578125,107.477600097656,105.341911315918,103.857025146484,102.649856567383,100.756721496582,98.7895126342773,98.3812637329102,98.028564453125,98.057258605957,97.7563934326172,96.5927352905273,95.5179443359375,93.0286254882812,90.8151321411133,90.8151321411133
"26","St. Kitts Nevis",0.216161698102951,0.216161698102951,0.216161698102951,0.216161698102951,0.218597322702408,0.219634100794792,0.222370475530624,0.241543635725975,0.262350648641586,0.290116757154465,0.30853733420372,0.337876230478287,0.356952428817749,0.374410301446915,0.366366624832153,0.382037132978439,0.408800274133682,0.430520445108414,0.455287545919418,0.482086479663849,0.515332758426666,0.51189386844635,0.529239356517792,0.585837960243225,0.617846846580505,0.633800745010376,0.610887587070465,0.632920265197754,0.688436448574066,0.700911104679108,0.699673771858215,0.743696630001068,0.721236705780029,0.705015361309052,0.721926748752594,0.717591226100922,0.762224674224854,0.807676553726196,0.839792668819427,0.858344674110413,0.873306453227997,0.873306453227997
"27","St. Lucia",0.419447600841522,0.419447600841522,0.419447600841522,0.419447600841522,0.445581197738647,0.455004274845123,0.477475941181183,0.511585295200348,0.55379045009613,0.632307589054108,0.658526539802551,0.747975528240204,0.816307187080383,0.897276401519775,0.902460694313049,0.972667276859283,0.978596925735474,0.995826482772827,1.01265966892242,1.0424736738205,1.03692758083344,1.10225307941437,1.13222992420197,1.13268613815308,1.09512615203857,1.09884583950043,1.14637887477875,1.2294807434082,1.22502398490906,1.30124843120575,1.31407070159912,1.38837242126465,1.4047554731369,1.38196814060211,1.3906809091568,1.39320433139801,1.4404981136322,1.43739402294159,1.46561872959137,1.48985433578491,1.52993619441986,1.52993619441986
"28","St. Vincent Grenadines",0.233303621411324,0.233303621411324,0.233303621411324,0.233303621411324,0.244068250060081,0.254993796348572,0.260521739721298,0.2776840031147,0.294839054346085,0.31135219335556,0.312716156244278,0.356728494167328,0.361740797758102,0.376752734184265,0.381031692028046,0.40533047914505,0.422561168670654,0.417288690805435,0.449701219797134,0.455489426851273,0.471458107233047,0.490738302469254,0.504041850566864,0.512295246124268,0.521052479743958,0.55400025844574,0.596601665019989,0.621398150920868,0.636858522891998,0.685822486877441,0.674975693225861,0.719976425170898,0.704863727092743,0.681225895881653,0.678369224071503,0.687735021114349,0.700336277484894,0.70722895860672,0.72011786699295,0.729264855384827,0.740906417369843,0.740906417369843
"29","Trinidad and Tobago",10.2092304229736,10.2092304229736,10.2092304229736,10.2092304229736,10.6396236419678,11.0449132919312,9.90580654144287,9.33613300323486,8.95136165618896,8.6575927734375,8.2626838684082,7.93898296356201,7.87332582473755,7.99208831787109,8.20643997192383,8.07126331329346,7.95394945144653,8.23757934570312,8.6212158203125,9.23629474639893,9.93112754821777,10.7379884719849,11.5996923446655,12.4002285003662,12.9171352386475,13.9423303604126,15.9558000564575,17.2242202758789,18.2936725616455,20.7099094390869,21.6944980621338,22.4300327301025,21.4452228546143,22.1579170227051,22.0926952362061,22.3785705566406,22.5980701446533,22.5410861968994,22.8830699920654,21.5199127197266,21.0172023773193,21.0172023773193
"30","South America",1699.87857556343,1699.87857556343,1699.87857556343,1699.87857556343,1654.46919047832,1637.33678209782,1595.07267189026,1660.11028146744,1731.19098007679,1861.00579369068,1934.03614556789,1942.99777007103,1955.06455886364,1932.85001587868,2006.9703630209,2059.12936306,2145.96049940586,2250.85321342945,2335.27168226242,2397.0962767601,2507.68279778957,2535.0961933136,2507.57384097576,2591.18726921082,2615.84836828709,2626.44021522999,2672.66857194901,2860.74246239662,2998.52962553501,3160.3503704071,3369.84470272064,3537.41920614243,3505.2718963623,3738.02014565468,3915.3304002285,4013.407807827,4144.72000336647,4163.19494700432,4095.76447820663,3971.03450989723,4004.57237863541,4004.57237863541
"31","Argentina",227.856109619141,227.856109619141,227.856109619141,227.856109619141,214.892166137695,204.23957824707,212.154113769531,216.846481323242,200.395050048828,216.177719116211,222.468475341797,216.780151367188,200.529907226562,195.719284057617,220.516342163086,246.847702026367,261.428802490234,276.686309814453,268.813995361328,283.670501708984,306.679168701172,318.486846923828,307.70458984375,305.276824951172,291.817657470703,260.025634765625,283.004180908203,308.558258056641,335.870788574219,362.898803710938,395.587463378906,411.637390136719,387.274505615234,426.487579345703,452.093688964844,447.453308105469,458.216003417969,446.702789306641,458.902923583984,450.539245605469,463.442352294922,463.442352294922
